pid,date,min_irrigated_yield,max_irrigated_yield,avg_irrigated_yield,stddev_irrigated_yield,min_nonirrigated_yield,max_nonirrigated_yield,avg_nonirrigated_yield,stddev_nonirrigated_yield,avg_irrigation,stddev_irrigation,max_irrigated_type,max_nonirrigated_type
295780,2020-09-01,5.82,32.38,18.72,9.94,1.51,5.06,2.89,1.31,333.89,125.78,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best","srwc-pont-raspalje,srwc-pont-raspalje,gr-fischer2013,gr-fischer2013"
292820,2020-09-01,7.32,39.35,22.97,11.79,4.81,11.45,7.74,2.20,267.50,111.51,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best","srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje"
289356,2020-09-01,5.63,33.08,19.01,10.32,1.65,4.57,3.13,1.11,295.64,115.21,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best","srwc-pont-raspalje,srwc-pont-raspalje,gr-fischer2013,srwc-pont-raspalje"
291160,2020-09-01,8.61,40.71,24.18,11.58,7.56,17.93,12.70,4.17,220.83,89.37,"srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","srwc-pont-raspalje,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-raspalje"
302208,2020-09-01,11.66,56.41,32.95,16.79,8.68,20.21,13.59,4.29,352.54,145.11,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best","srwc-pont-raspalje,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best"
294375,2020-09-01,5.48,31.27,18.11,9.57,1.07,3.49,2.55,0.89,324.47,122.21,"srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","srwc-pont-beaupre-best,gr-fischer2013,srwc-pont-raspalje,gr-fischer2013"
291491,2020-09-01,7.47,38.78,22.72,11.47,7.47,23.83,15.92,6.33,176.99,77.57,"srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-raspalje"
301194,2020-09-01,10.12,52.78,30.57,16.12,7.93,22.22,14.50,5.29,344.73,147.53,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best","srwc-pont-beaupre-best,srwc-pont-raspalje,srwc-pont-beaupre-best,srwc-pont-fritzi-best"
293013,2020-09-01,14.16,54.03,32.88,14.30,14.16,36.01,23.91,8.51,173.35,64.65,"srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","srwc-pont-raspalje,srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best"
296023,2020-09-01,16.33,58.30,35.81,15.02,15.17,38.89,25.15,8.90,189.41,61.70,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best","srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best"
